Rgp,Rgp_lib,Dut,Dut_lib,Âge au bac,Sexe,Mention au Bac,Année de cohorte des données sur le passage entre L1 et L2,Effectif de néobacheliers de la cohorte,Passage en 2ème année de DUT en 1 an,Passage en 2ème année de DUT en 2 ans,Année de cohorte des données sur la réussite en licence,Effectif de néobacheliers de la cohorte.1,Obtention du DUT en 2 ans,Obtention du DUT en 3 ans
CM,Communication et médiation,MMI,Métiers du multimédia et de l'internet,En retard d'un an,Femme,Passable deuxième groupe,2014,0.0,0.0,0.0,2013,2.0,2.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",QLIO,"Qualité, logistique industrielle et organisation",A l'heure ou en avance,Homme,Bien,2014,1.0,1.0,0.0,2013,1.0,1.0,0.0
AGSC,"Administration, gestion, statistique, commerce",GEA,Gestion des entreprises et administrations,Non pris en compte,Femme,Très bien,2014,7.0,7.0,0.0,2013,7.0,5.0,0.0
AGSC,"Administration, gestion, statistique, commerce",GLT,Gestion logistique et transport,En retard d'un an,Homme,Passable deuxième groupe,2014,0.0,0.0,0.0,2013,1.0,0.0,0.0
AGSC,"Administration, gestion, statistique, commerce",CJ,Carrières juridiques,En retard d'un an,Femme,Assez bien,2014,18.0,16.0,0.0,2013,24.0,22.0,0.0
AGSC,"Administration, gestion, statistique, commerce",CJ,Carrières juridiques,En retard d'un an,Homme,Assez bien,2014,3.0,1.0,1.0,2013,0.0,0.0,0.0
CM,Communication et médiation,CS,Carrières sociales,En retard de plus d'un an,Femme,Passable deuxième groupe,2014,1.0,0.0,0.0,2013,5.0,3.0,1.0
CM,Communication et médiation,CS,Carrières sociales,En retard de plus d'un an,Femme,Bien,2014,1.0,1.0,0.0,2013,2.0,1.0,0.0
AGSC,"Administration, gestion, statistique, commerce",STID,Statistique et informatique décisionnelle,En retard de plus d'un an,Homme,Passable premier groupe,2014,1.0,0.0,1.0,2013,2.0,0.0,0.0
CES,"Construction, énergie, sécurité",GCCD,Génie civil - Construction durable,A l'heure ou en avance,Femme,Assez bien,2014,22.0,8.0,4.0,2013,12.0,4.0,4.0
CBPI,"Chimie, biologie, procédés industriels",GCGP,Génie chimique - Génie des procédés,A l'heure ou en avance,Femme,Passable premier groupe,2014,6.0,0.0,2.0,2013,3.0,0.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",GIM,Génie industriel et maintenance,En retard de plus d'un an,Homme,Passable premier groupe,2014,4.0,1.0,1.0,2013,8.0,1.0,2.0
SIMC,"Sciences industrielles, matériaux, contrôle",GIM,Génie industriel et maintenance,En retard de plus d'un an,Homme,Inconnue,2014,2.0,0.0,0.0,2013,0.0,0.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",GIM,Génie industriel et maintenance,Non pris en compte,Femme,Très bien,2014,1.0,1.0,0.0,2013,0.0,0.0,0.0
AGSC,"Administration, gestion, statistique, commerce",CJ,Carrières juridiques,A l'heure ou en avance,Homme,Bien,2014,1.0,1.0,0.0,2013,1.0,1.0,0.0
CBPI,"Chimie, biologie, procédés industriels",CHIMIE,Chimie,En retard d'un an,Homme,Passable premier groupe,2014,7.0,0.0,1.0,2013,7.0,0.0,0.0
AGSC,"Administration, gestion, statistique, commerce",CJ,Carrières juridiques,En retard de plus d'un an,Femme,Passable premier groupe,2014,4.0,3.0,1.0,2013,6.0,2.0,1.0
CM,Communication et médiation,CS,Carrières sociales,A l'heure ou en avance,Homme,Passable deuxième groupe,2014,0.0,0.0,0.0,2013,1.0,1.0,0.0
CM,Communication et médiation,CS,Carrières sociales,A l'heure ou en avance,Femme,Passable deuxième groupe,2014,12.0,12.0,0.0,2013,11.0,6.0,1.0
CM,Communication et médiation,CS,Carrières sociales,A l'heure ou en avance,Femme,Passable premier groupe,2014,91.0,78.0,1.0,2013,93.0,84.0,0.0
AGSC,"Administration, gestion, statistique, commerce",GLT,Gestion logistique et transport,A l'heure ou en avance,Femme,Passable premier groupe,2014,3.0,2.0,0.0,2013,2.0,1.0,1.0
AGSC,"Administration, gestion, statistique, commerce",GLT,Gestion logistique et transport,A l'heure ou en avance,Femme,Passable premier groupe,2014,39.0,31.0,0.0,2013,42.0,34.0,3.0
AGSC,"Administration, gestion, statistique, commerce",GLT,Gestion logistique et transport,A l'heure ou en avance,Homme,Passable premier groupe,2014,10.0,4.0,1.0,2013,6.0,2.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",GMP,Génie mécanique et productique,En retard d'un an,Femme,Assez bien,2014,8.0,6.0,0.0,2013,6.0,3.0,3.0
CES,"Construction, énergie, sécurité",GTE,Génie thermique et énergie,A l'heure ou en avance,Homme,Passable deuxième groupe,2014,31.0,17.0,3.0,2013,14.0,5.0,6.0
CES,"Construction, énergie, sécurité",GTE,Génie thermique et énergie,A l'heure ou en avance,Femme,Assez bien,2014,16.0,14.0,0.0,2013,14.0,13.0,0.0
CM,Communication et médiation,INFOCOM,Information-Communication,A l'heure ou en avance,Femme,Très bien,2014,27.0,27.0,0.0,2013,29.0,25.0,0.0
CM,Communication et médiation,MMI,Métiers du multimédia et de l'internet,A l'heure ou en avance,Femme,Bien,2014,6.0,5.0,0.0,2013,8.0,6.0,1.0
CM,Communication et médiation,MMI,Métiers du multimédia et de l'internet,En retard de plus d'un an,Homme,Passable deuxième groupe,2014,1.0,0.0,1.0,2013,0.0,0.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",MP,Mesures physiques,A l'heure ou en avance,Femme,Inconnue,2014,0.0,0.0,0.0,2013,6.0,1.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",PEC,"Packaging, emballage et conditionnement",A l'heure ou en avance,Femme,Très bien,2014,0.0,0.0,0.0,2013,1.0,1.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",SGM,Sciences et génie des matériaux,En retard de plus d'un an,Homme,Assez bien,2014,1.0,1.0,0.0,2013,0.0,0.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",SGM,Sciences et génie des matériaux,En retard de plus d'un an,Femme,Assez bien,2014,0.0,0.0,0.0,2013,1.0,1.0,0.0
AGSC,"Administration, gestion, statistique, commerce",TC,Techniques de commercialisation,En retard d'un an,Homme,Passable premier groupe,2014,38.0,29.0,2.0,2013,51.0,35.0,6.0
CES,"Construction, énergie, sécurité",GCCD,Génie civil - Construction durable,En retard d'un an,Homme,Bien,2014,38.0,24.0,5.0,2013,53.0,28.0,7.0
EAI,"Électronique, automatique, informatique",GE2I,Génie électrique et informatique industrielle,En retard d'un an,Femme,Assez bien,2014,5.0,4.0,0.0,2013,4.0,4.0,0.0
CBPI,"Chimie, biologie, procédés industriels",CHIMIE,Chimie,En retard d'un an,Femme,Passable deuxième groupe,2014,2.0,0.0,0.0,2013,3.0,0.0,0.0
AGSC,"Administration, gestion, statistique, commerce",GACO,Gestion administrative et commerciale des organisations,En retard d'un an,Homme,Inconnue,2014,0.0,0.0,0.0,2013,1.0,1.0,0.0
CBPI,"Chimie, biologie, procédés industriels",GCGP,Génie chimique - Génie des procédés,A l'heure ou en avance,Homme,Passable premier groupe,2014,13.0,1.0,2.0,2013,11.0,1.0,5.0
AGSC,"Administration, gestion, statistique, commerce",GACO,Gestion administrative et commerciale des organisations,A l'heure ou en avance,Homme,Passable deuxième groupe,2014,2.0,0.0,0.0,2013,4.0,2.0,1.0
AGSC,"Administration, gestion, statistique, commerce",GEA,Gestion des entreprises et administrations,En retard de plus d'un an,Homme,Passable deuxième groupe,2014,7.0,0.0,2.0,2013,12.0,2.0,4.0
AGSC,"Administration, gestion, statistique, commerce",GLT,Gestion logistique et transport,En retard d'un an,Homme,Passable premier groupe,2014,4.0,4.0,0.0,2013,6.0,3.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",GMP,Génie mécanique et productique,A l'heure ou en avance,Homme,Bien,2014,238.0,169.0,24.0,2013,187.0,115.0,27.0
CM,Communication et médiation,INFOCOM,Information-Communication,En retard d'un an,Homme,Passable deuxième groupe,2014,1.0,1.0,0.0,2013,0.0,0.0,0.0
CM,Communication et médiation,MMI,Métiers du multimédia et de l'internet,En retard d'un an,Homme,Passable premier groupe,2014,10.0,1.0,3.0,2013,8.0,2.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",QLIO,"Qualité, logistique industrielle et organisation",A l'heure ou en avance,Femme,Bien,2014,8.0,8.0,0.0,2013,6.0,6.0,0.0
SIMC,"Sciences industrielles, matériaux, contrôle",QLIO,"Qualité, logistique industrielle et organisation",En retard d'un an,Femme,Assez bien,2014,4.0,3.0,0.0,2013,3.0,1.0,0.0
